
╭────────┬─────────┬────────────────┬────────────────────────────┬────────────────────────────┬──────────────┬─────────────╮
│   id   │ country │     state      │            city            │           native           │     lon      │     lat     │
│  20296 │ China   │ Guangdong      │ Xingning                   │ 兴宁                       │    115.72272 │     24.1483 │
│ 157508 │ China   │ Guangdong      │ Xingning                   │ 兴宁                       │  115.7531534 │  24.2579216 │
│  20299 │ China   │ Guangdong      │ Xinhui                     │ 新会                       │     113.0482 │      22.456 │
│ 157469 │ China   │ Guangdong      │ Xinhui                     │ 新会                       │  113.0328366 │  22.3836907 │
│  20312 │ China   │ Guangdong      │ Xinyi                      │ 信宜                       │    110.94746 │    22.37303 │
│ 157487 │ China   │ Guangdong      │ Xinyi                      │ 欣怡                       │   110.942291 │  22.3580316 │
│  20341 │ China   │ Guangdong      │ Yangchun                   │ 阳春                       │    111.78333 │    22.16667 │
│ 157522 │ China   │ Guangdong      │ Yangchun                   │ 阳春                       │  111.6936609 │  22.2518472 │
│  19295 │ China   │ Guangxi        │ Babu                       │ 巴布                       │    111.51667 │    24.41667 │
│ 159620 │ China   │ Guangxi        │ Babu                       │ 巴布                       │  111.7803928 │  24.3320844 │
│  19303 │ China   │ Guangxi        │ Baise                      │ 百色市                     │  106.6148824 │  23.9053605 │
│  19304 │ China   │ Guangxi        │ Baise                      │ 百色市                     │    106.61667 │        23.9 │
│  19570 │ China   │ Guangxi        │ Guilin                     │ 桂林                       │  110.2910622 │  25.2779894 │
│  19571 │ China   │ Guangxi        │ Guilin                     │ 桂林市                     │    110.28333 │    25.28333 │
│  19572 │ China   │ Guangxi        │ Guiping                    │ 桂平                       │    110.07437 │    23.39336 │
│ 159599 │ China   │ Guangxi        │ Guiping                    │ 桂平                       │  110.0967393 │  23.2817204 │
│  19981 │ China   │ Guangxi        │ Pingnan                    │ 屏南                       │    110.38946 │    23.54218 │
│ 159598 │ China   │ Guangxi        │ Pingnan                    │ 屏南                       │  110.3878006 │  23.5422149 │
│  20346 │ China   │ Guangxi        │ Yangshuo                   │ 阳朔                       │    110.48967 │    24.78081 │
│ 159565 │ China   │ Guangxi        │ Yangshuo                   │ 阳朔                       │  110.4871831 │  24.8630286 │
│  19487 │ China   │ Guizhou        │ Duyun                      │ 都匀                       │    107.51667 │    26.26667 │
│ 157633 │ China   │ Guizhou        │ Duyun                      │ 都云                       │  107.4526239 │  26.1908679 │
│  20104 │ China   │ Guizhou        │ Shiqian                    │ 石前                       │    108.22806 │     27.5225 │
│ 157600 │ China   │ Guizhou        │ Shiqian                    │ 石前                       │  108.2148546 │  27.5096513 │
│  20216 │ China   │ Guizhou        │ Weining                    │ 威宁                       │    104.23333 │       26.85 │
│ 157593 │ China   │ Guizhou        │ Weining                    │ 魏宁                       │   104.067332 │     27.0349 │
│  20032 │ China   │ Hainan         │ Qionghai                   │ 琼海                       │    110.46417 │     19.2425 │
│ 157661 │ China   │ Hainan         │ Qionghai                   │ 琼海                       │  110.4703445 │  19.2592373 │
│  20034 │ China   │ Hainan         │ Qiongshan                  │ 琼山                       │    110.35417 │    20.00583 │
│ 157647 │ China   │ Hainan         │ Qiongshan                  │ 琼山                       │  110.3801966 │  19.9858782 │
│  20209 │ China   │ Hainan         │ Wanning                    │ 万宁                       │     110.3841 │    18.79931 │
│ 157663 │ China   │ Hainan         │ Wanning                    │ 万宁                       │     110.2875 │   18.837778 │
│  20217 │ China   │ Hainan         │ Wenchang                   │ 文昌                       │    110.74894 │     19.6157 │
│ 157662 │ China   │ Hainan         │ Wenchang                   │ 文昌                       │  110.7932208 │  19.5452604 │
│  20325 │ China   │ Hainan         │ Xiuying                    │ 秀英                       │    110.29359 │    20.00073 │
│ 157645 │ China   │ Hainan         │ Xiuying                    │ 秀英                       │  110.2892742 │  20.0094864 │
│  19349 │ China   │ Hebei          │ Botou                      │ 泊头                       │     116.5666 │    38.06667 │
│ 157814 │ China   │ Hebei          │ Botou                      │ 博图                       │  116.5696393 │  38.0764217 │
│  19368 │ China   │ Hebei          │ Changli                    │ 昌黎                       │    119.15056 │    39.70417 │
│ 157716 │ China   │ Hebei          │ Changli                    │ 昌利                       │  119.2058701 │  39.5829102 │
│  19461 │ China   │ Hebei          │ Dingzhou                   │ 定州                       │    114.99556 │    38.51306 │
│ 157774 │ China   │ Hebei          │ Dingzhou                   │ 定                         │  114.9970044 │  38.5112175 │
│  19509 │ China   │ Hebei          │ Fengrun                    │ 丰润                       │    118.11667 │    39.83333 │
│ 157702 │ China   │ Hebei          │ Fengrun                    │ 丰润                       │  118.1555637 │  39.8314542 │
│  19581 │ China   │ Hebei          │ Guye                       │ 古野                       │    118.44085 │    39.73054 │
│ 157699 │ China   │ Hebei          │ Guye                       │ 盖伊                       │  118.4408381 │  39.7325497 │
│  19853 │ China   │ Hebei          │ Linxi                      │ 临西                       │    118.44954 │    39.71183 │
│ 157750 │ China   │ Hebei          │ Linxi                      │ 临西                       │  115.5001352 │  36.8475047 │
│  19878 │ China   │ Hebei          │ Luancheng                  │ 栾城                       │    114.65167 │    37.87917 │
│ 157682 │ China   │ Hebei          │ Luancheng                  │ 栾城                       │  118.6502236 │  39.7519063 │
│  19940 │ China   │ Hebei          │ Nangong                    │ 南宫                       │    115.37444 │    37.35806 │
│ 157751 │ China   │ Hebei          │ Nangong                    │ 南宫                       │  115.3920309 │  37.3560772 │
│  20040 │ China   │ Hebei          │ Renqiu                     │ 任丘                       │    116.09361 │    38.69889 │
│ 157815 │ China   │ Hebei          │ Renqiu                     │ 任丘                       │  116.1062203 │  38.7063767 │
│  20071 │ China   │ Hebei          │ Shanhaiguan                │ 山海关                     │    119.74889 │     40.0025 │
│ 157712 │ China   │ Hebei          │ Shanhaiguan                │ 山海关                     │  119.7563671 │  39.9987877 │
│  20301 │ China   │ Hebei          │ Xinji                      │ 辛集                       │    115.20361 │    37.90278 │
│ 157694 │ China   │ Hebei          │ Xinji                      │ 新集                       │  115.2537835 │  37.8837434 │
│  20482 │ China   │ Hebei          │ Zunhua                     │ 遵化                       │    117.95861 │    40.17917 │
│ 157708 │ China   │ Hebei          │ Zunhua                     │ 遵化                       │  117.9596297 │  40.1880998 │
│  19272 │ China   │ Heilongjiang   │ Acheng                     │ 阿城                       │    126.97703 │    45.54545 │
│ 157846 │ China   │ Heilongjiang   │ Acheng                     │ 阿城                       │  126.9694447 │  45.5362499 │
│  19279 │ China   │ Heilongjiang   │ Anda                       │ 安达                       │    125.31454 │    46.40202 │
│ 157954 │ China   │ Heilongjiang   │ Anda                       │ 安达                       │  125.4192927 │  46.5169806 │
│  19302 │ China   │ Heilongjiang   │ Baiquan                    │ 百泉                       │    126.08481 │    47.60605 │
│ 157871 │ China   │ Heilongjiang   │ Baiquan                    │ 百泉                       │   126.030847 │   47.576989 │
│  19316 │ China   │ Heilongjiang   │ Baoqing                    │ 宝庆                       │    132.21111 │    46.33167 │
│ 157896 │ China   │ Heilongjiang   │ Baoqing                    │ 宝庆                       │   132.432532 │  46.4282459 │
│  19322 │ China   │ Heilongjiang   │ Bayan                      │ 巴彦                       │     127.3984 │    46.07556 │
│ 157851 │ China   │ Heilongjiang   │ Bayan                      │ 巴彦                       │  127.3996815 │  46.0777848 │
│  19347 │ China   │ Heilongjiang   │ Boli                       │ 博利                       │    130.57211 │    45.75279 │
│ 157930 │ China   │ Heilongjiang   │ Boli                       │ 博利                       │  130.4878261 │  45.8166782 │
│  19397 │ China   │ Heilongjiang   │ Chengzihe                  │ 城子河                     │    131.06667 │    45.33333 │
│ 157877 │ China   │ Heilongjiang   │ Chengzihe                  │ 城子河                     │   131.019432 │   45.377197 │
│  19473 │ China   │ Heilongjiang   │ Dongning                   │ 东宁                       │    131.12075 │    44.06219 │
│ 157940 │ China   │ Heilongjiang   │ Dongning                   │ 东宁                       │  130.8926354 │  44.0697214 │
│  19518 │ China   │ Heilongjiang   │ Fujin                      │ 富锦                       │    132.03222 │       47.26 │
│ 157924 │ China   │ Heilongjiang   │ Fujin                      │ 风神                       │   132.516788 │   47.174394 │
│  19528 │ China   │ Heilongjiang   │ Fuyu                       │ 扶余                       │    124.45731 │    47.79756 │
│ 157868 │ China   │ Heilongjiang   │ Fuyu                       │ 芙玉                       │   124.564511 │   47.659918 │
│  19530 │ China   │ Heilongjiang   │ Fuyuan                     │ 富源                       │    134.28917 │    48.36306 │
│ 157925 │ China   │ Heilongjiang   │ Fuyuan                     │ 富源                       │  134.2574179 │    47.94063 │
│  19535 │ China   │ Heilongjiang   │ Gannan                     │ 赣南                       │    123.50306 │    47.91472 │
│ 157867 │ China   │ Heilongjiang   │ Gannan                     │ 赣南                       │  123.8597389 │   47.980015 │
│  19588 │ China   │ Heilongjiang   │ Hailin                     │ 海林                       │    129.38539 │    44.57149 │
│ 157937 │ China   │ Heilongjiang   │ Hailin                     │ 海林                       │   129.257006 │   44.861966 │
│  19589 │ China   │ Heilongjiang   │ Hailun                     │ 海伦                       │    126.95368 │     47.4565 │
│ 157956 │ China   │ Heilongjiang   │ Hailun                     │ 海伦                       │  126.8214728 │  47.4165095 │
│  19624 │ China   │ Heilongjiang   │ Honggang                   │ 红岗                       │    124.88322 │    46.40124 │
│ 157901 │ China   │ Heilongjiang   │ Honggang                   │ 红港                       │  124.8844111 │  46.3966917 │
│  19645 │ China   │ Heilongjiang   │ Huanan                     │ 华南                       │      130.525 │     46.2207 │
│ 157920 │ China   │ Heilongjiang   │ Huanan                     │ 华南                       │  130.7006906 │  46.2845347 │
│  19676 │ China   │ Heilongjiang   │ Hulan                      │ 呼兰                       │        126.6 │    45.98333 │
│ 157845 │ China   │ Heilongjiang   │ Hulan                      │ 呼兰                       │  126.6013646 │  45.9733487 │
│  19718 │ China   │ Heilongjiang   │ Jidong                     │ 冀东                       │    131.08333 │    45.21667 │
│ 157879 │ China   │ Heilongjiang   │ Jidong                     │ 冀东                       │  131.2998895 │  45.2611439 │
│  19802 │ China   │ Heilongjiang   │ Lanxi                      │ 兰溪                       │    126.28269 │    46.25785 │
│ 157949 │ China   │ Heilongjiang   │ Lanxi                      │ 兰溪                       │   126.207599 │   46.318105 │
│  19841 │ China   │ Heilongjiang   │ Lingdong                   │ 岭东                       │    131.14528 │    46.56694 │
│ 157891 │ China   │ Heilongjiang   │ Lingdong                   │ 岭东                       │  131.1566892 │  46.5904696 │
│  19847 │ China   │ Heilongjiang   │ Linkou                     │ 林口                       │    130.26151 │    45.28606 │
│ 157935 │ China   │ Heilongjiang   │ Linkou                     │ 林口                       │  130.0904711 │  45.4427775 │
│  19865 │ China   │ Heilongjiang   │ Longfeng                   │ 龙凤                       │     125.1038 │    46.53168 │
│ 157899 │ China   │ Heilongjiang   │ Longfeng                   │ 龙凤                       │  125.1377353 │  46.5675495 │
│  19867 │ China   │ Heilongjiang   │ Longjiang                  │ 龙江                       │    123.17816 │    47.33072 │
│ 157864 │ China   │ Heilongjiang   │ Longjiang                  │ 龙江                       │  123.1778544 │  47.2041505 │
│  19921 │ China   │ Heilongjiang   │ Mingshui                   │ 明水                       │    125.90027 │     47.1815 │
│ 157952 │ China   │ Heilongjiang   │ Mingshui                   │ 明水                       │  125.8813422 │  47.1747821 │
│  19925 │ China   │ Heilongjiang   │ Mishan                     │ 密山                       │    131.88333 │       45.55 │
│ 157881 │ China   │ Heilongjiang   │ Mishan                     │ 米山                       │  132.1986356 │  45.4701565 │
│  19953 │ China   │ Heilongjiang   │ Nehe                       │ 讷河                       │    124.83333 │    48.48333 │
│ 157872 │ China   │ Heilongjiang   │ Nehe                       │ 尼赫                       │   125.119851 │  48.4540245 │
│  19956 │ China   │ Heilongjiang   │ Nenjiang                   │ 嫩江                       │    125.21774 │    49.17414 │
│ 157946 │ China   │ Heilongjiang   │ Nenjiang                   │ 嫩江                       │   125.830457 │  49.4176627 │
│  19958 │ China   │ Heilongjiang   │ Nianzishan                 │ 碾子山                     │    122.88333 │    47.51667 │
│ 157862 │ China   │ Heilongjiang   │ Nianzishan                 │ 念子山                     │  122.8809284 │   47.514833 │
│  20017 │ China   │ Heilongjiang   │ Qinggang                   │ 青港                       │    126.10595 │    46.68469 │
│ 157950 │ China   │ Heilongjiang   │ Qinggang                   │ 青港                       │  125.9744506 │  46.8254338 │
│  20070 │ China   │ Heilongjiang   │ Shangzhi                   │ 尚志                       │    127.97426 │    45.21406 │
│ 157855 │ China   │ Heilongjiang   │ Shangzhi                   │ 尚志                       │  127.9634816 │  45.2133989 │
│  20114 │ China   │ Heilongjiang   │ Shuangcheng                │ 双城                       │    126.28333 │       45.35 │
│ 157847 │ China   │ Heilongjiang   │ Shuangcheng                │ 双城                       │  126.3046846 │  45.3662519 │
│  20140 │ China   │ Heilongjiang   │ Suifenhe                   │ 绥芬河                     │    131.14775 │    44.39982 │
│ 157936 │ China   │ Heilongjiang   │ Suifenhe                   │ 绥芬河                     │  131.1556208 │  44.3946516 │
│  20142 │ China   │ Heilongjiang   │ Suileng                    │ 绥棱                       │    127.09535 │    47.24805 │
│ 157953 │ China   │ Heilongjiang   │ Suileng                    │ 绥棱                       │  127.7141814 │   47.565378 │
│  20154 │ China   │ Heilongjiang   │ Tahe                       │ 塔河                       │    124.73333 │    52.33333 │
│ 157964 │ China   │ Heilongjiang   │ Tahe                       │ 塔赫                       │  124.6607199 │  52.7161539 │
│  20158 │ China   │ Heilongjiang   │ Tailai                     │ 泰来                       │    123.41371 │    46.38909 │
│ 157866 │ China   │ Heilongjiang   │ Tailai                     │ 泰莱                       │  123.5469477 │  46.5443277 │
│  20182 │ China   │ Heilongjiang   │ Tieli                      │ 铁力                       │    128.04497 │    46.98043 │
│ 157916 │ China   │ Heilongjiang   │ Tieli                      │ 铁利                       │   128.549903 │   46.856397 │
│  20207 │ China   │ Heilongjiang   │ Wangkui                    │ 王奎                       │    126.47768 │    46.83283 │
│ 157948 │ China   │ Heilongjiang   │ Wangkui                    │ 王奎                       │  126.6451331 │  46.8717014 │
│  20228 │ China   │ Heilongjiang   │ Wuchang                    │ 武昌                       │    127.15001 │    44.91428 │
│ 157856 │ China   │ Heilongjiang   │ Wuchang                    │ 武昌                       │   127.160945 │  44.9299296 │
│  20372 │ China   │ Heilongjiang   │ Yilan                      │ 宜兰                       │    129.55455 │    46.31618 │
│ 157848 │ China   │ Heilongjiang   │ Yilan                      │ 宜兰                       │  129.5650414 │  46.3208082 │
│  20389 │ China   │ Heilongjiang   │ Youhao                     │ 又好                       │    128.83565 │    47.85306 │
│ 157907 │ China   │ Heilongjiang   │ Youhao                     │ 又好                       │  128.8234339 │  47.8430859 │
│  20431 │ China   │ Heilongjiang   │ Zhaodong                   │ 肇东                       │    125.98263 │    46.06771 │
│ 157955 │ China   │ Heilongjiang   │ Zhaodong                   │ 肇东                       │   125.814502 │   46.026373 │
│  20436 │ China   │ Heilongjiang   │ Zhaoyuan                   │ 招远                       │    125.13333 │        45.5 │
│ 157904 │ China   │ Heilongjiang   │ Zhaoyuan                   │ 招远                       │    124.83788 │   45.611428 │
│  20437 │ China   │ Heilongjiang   │ Zhaozhou                   │ 赵州                       │    125.31667 │    45.68333 │
│ 157903 │ China   │ Heilongjiang   │ Zhaozhou                   │ 赵                         │  125.2870292 │  45.8509486 │
│  19761 │ China   │ Henan          │ Jiyuan                     │ 济源                       │       112.58 │       35.09 │
│ 158124 │ China   │ Henan          │ Jiyuan                     │ 济源                       │  112.5810521 │  35.0945453 │
│  20048 │ China   │ Henan          │ Ruzhou                     │ 汝州                       │    112.82972 │    34.16167 │
│ 158010 │ China   │ Henan          │ Ruzhou                     │ 汝                         │  112.8392579 │  34.1678145 │
│  20373 │ China   │ Henan          │ Yima                       │ 义马                       │    111.88389 │    34.73806 │
│ 158069 │ China   │ Henan          │ Yima                       │ 伊玛                       │  111.8661916 │  34.7454924 │
│  19282 │ China   │ Hubei          │ Anlu                       │ 安陆                       │    113.67833 │     31.2575 │
│ 158187 │ China   │ Hubei          │ Anlu                       │ 安鲁                       │  113.6480203 │  31.3066219 │
│  19355 │ China   │ Hubei          │ Caidian                    │ 蔡甸                       │    114.03333 │    30.58333 │
│ 158134 │ China   │ Hubei          │ Caidian                    │ 蔡甸                       │  114.0821056 │  30.5389289 │
│  19425 │ China   │ Hubei          │ Danjiangkou                │ 丹江口                     │    111.50861 │    32.54278 │
│ 158151 │ China   │ Hubei          │ Danjiangkou                │ 丹江口                     │  111.1846605 │  32.5453821 │
│  19440 │ China   │ Hubei          │ Daye                       │ 大冶                       │       114.95 │    30.08333 │
│ 158143 │ China   │ Hubei          │ Daye                       │ 戴伊                       │  114.9748074 │  30.0985567 │
│  19560 │ China   │ Hubei          │ Guangshui                  │ 广水                       │     113.9978 │     31.6199 │
│ 158215 │ China   │ Hubei          │ Guangshui                  │ 广水                       │  113.8407641 │  31.6838156 │
│  19596 │ China   │ Hubei          │ Hanchuan                   │ 汉川                       │    113.76667 │       30.65 │
│ 158188 │ China   │ Hubei          │ Hanchuan                   │ 汉川                       │  113.8329583 │  30.6562575 │
│  19651 │ China   │ Hubei          │ Huangmei                   │ 黄梅                       │    116.02496 │    30.19235 │
│ 158204 │ China   │ Hubei          │ Huangmei                   │ 黄梅                       │  115.9289051 │  30.0182561 │
│  19654 │ China   │ Hubei          │ Huangpi                    │ 黄陂                       │    114.37789 │    30.88453 │
│ 158136 │ China   │ Hubei          │ Huangpi                    │ 黄陂                       │  114.3820173 │  31.0567528 │
│  19663 │ China   │ Hubei          │ Huangzhou                  │ 黄州                       │        114.8 │       30.45 │
│ 158197 │ China   │ Hubei          │ Huangzhou                  │ 黄                         │  114.8750766 │  30.4369576 │
│  19805 │ China   │ Hubei          │ Laohekou                   │ 老河口市                   │    111.66778 │    32.38583 │
│ 158171 │ China   │ Hubei          │ Laohekou                   │ 老河口                     │  111.7575073 │  32.4370526 │
│  19834 │ China   │ Hubei          │ Lichuan                    │ 利川                       │       108.85 │        30.3 │
│ 158217 │ China   │ Hubei          │ Lichuan                    │ 利川                       │   108.815759 │   30.244508 │
│  19900 │ China   │ Hubei          │ Macheng                    │ 麻城                       │    115.02213 │    31.18013 │
│ 158205 │ China   │ Hubei          │ Macheng                    │ 麻城                       │  115.1108647 │  31.3198572 │
│  20008 │ China   │ Hubei          │ Qianjiang                  │ 潜江                       │     112.8919 │      30.421 │
│ 158226 │ China   │ Hubei          │ Qianjiang                  │ 潜江                       │  112.8940372 │  30.4049826 │
│  20085 │ China   │ Hubei          │ Shashi                     │ 沙市                       │    112.24472 │    30.30722 │
│ 158189 │ China   │ Hubei          │ Shashi                     │ 沙希                       │  112.2524983 │  30.3144274 │
│  20240 │ China   │ Hubei          │ Wuxue                      │ 武穴                       │     115.5525 │    29.85058 │
│ 158206 │ China   │ Hubei          │ Wuxue                      │ 武穴                       │  115.5562861 │   29.847035 │
│  20266 │ China   │ Hubei          │ Xiantao                    │ 仙桃                       │    113.44294 │     30.3708 │
│ 158225 │ China   │ Hubei          │ Xiantao                    │ 仙桃                       │  113.4486702 │   30.364029 │
│  20317 │ China   │ Hubei          │ Xinzhou                    │ 新洲                       │        114.8 │    30.86667 │
│ 158137 │ China   │ Hubei          │ Xinzhou                    │ 新洲                       │  114.7960013 │  30.8437702 │
│  20367 │ China   │ Hubei          │ Yicheng                    │ 宜城                       │    112.25611 │    31.70472 │
│ 158173 │ China   │ Hubei          │ Yicheng                    │ 宜城                       │  112.2527375 │  31.7210346 │
│  20414 │ China   │ Hubei          │ Zaoyang                    │ 枣阳                       │    112.75417 │    32.12722 │
│ 158172 │ China   │ Hubei          │ Zaoyang                    │ 枣阳                       │  112.7665716 │  32.1307686 │
│  20446 │ China   │ Hubei          │ Zhijiang                   │ 之江                       │    111.75333 │    30.42139 │
│ 158164 │ China   │ Hubei          │ Zhijiang                   │ 之江                       │  111.7546868 │  30.4283835 │
│  20455 │ China   │ Hubei          │ Zhongxiang                 │ 忠祥                       │    112.58306 │    31.16611 │
│ 158180 │ China   │ Hubei          │ Zhongxiang                 │ 忠祥                       │  112.5823331 │  31.1702322 │
│  19289 │ China   │ Hunan          │ Anxiang                    │ 安祥                       │       112.15 │        29.4 │
│ 158288 │ China   │ Hunan          │ Anxiang                    │ 安祥                       │  112.1652707 │  29.4135596 │
│  19506 │ China   │ Hunan          │ Fenghuang                  │ 凤凰                       │    109.59961 │    27.93557 │
│ 158347 │ China   │ Hunan          │ Fenghuang                  │ 凤凰                       │   109.532129 │   28.010585 │
│  19626 │ China   │ Hunan          │ Hongjiang                  │ 洪江                       │    109.99556 │       27.11 │
│ 158338 │ China   │ Hunan          │ Hongjiang                  │ 洪江                       │  110.0790255 │  27.2328573 │
│  19668 │ China   │ Hunan          │ Huayuan                    │ 华苑                       │    110.53583 │    26.91361 │
│ 158348 │ China   │ Hunan          │ Huayuan                    │ 华源                       │  109.4183343 │  28.4342803 │
│  19748 │ China   │ Hunan          │ Jinshi                     │ 进士                       │    111.87012 │    29.60487 │
│ 158294 │ China   │ Hunan          │ Jinshi                     │ 金石                       │    111.85987 │   29.494523 │
│  19808 │ China   │ Hunan          │ Leiyang                    │ 耒阳                       │    112.85908 │    26.40238 │
│ 158262 │ China   │ Hunan          │ Leiyang                    │ 耒阳                       │  112.8545783 │  26.4255243 │
│  19809 │ China   │ Hunan          │ Lengshuijiang              │ 冷水江                     │    111.42944 │    27.68806 │
│ 158342 │ China   │ Hunan          │ Lengshuijiang              │ 冷水江                     │  111.4534719 │  27.6581325 │
│  19810 │ China   │ Hunan          │ Lengshuitan                │ 冷水滩                     │    111.59559 │     26.4111 │
│ 158317 │ China   │ Hunan          │ Lengshuitan                │ 冷水滩                     │  111.6328512 │  26.5646555 │
│  19824 │ China   │ Hunan          │ Lianyuan                   │ 涟源                       │    111.66417 │    27.68833 │
│ 158343 │ China   │ Hunan          │ Lianyuan                   │ 涟源                       │  111.7776649 │   27.738153 │
│  20235 │ China   │ Hunan          │ Wulingyuan                 │ 武陵源                     │    110.54407 │    29.34936 │
│ 158296 │ China   │ Hunan          │ Wulingyuan                 │ 武陵源                     │  110.5283093 │  29.3387031 │
│  20257 │ China   │ Hunan          │ Xiangxiang                 │ 香香                       │    112.53333 │    27.73333 │
│ 158250 │ China   │ Hunan          │ Xiangxiang                 │ 香香                       │  112.5255933 │  27.7517719 │
│  20449 │ China   │ Hunan          │ Zhongfang                  │ 中方                       │    109.93194 │    27.41139 │
│ 158328 │ China   │ Hunan          │ Zhongfang                  │ 中方                       │   110.069016 │   27.486767 │
│  19475 │ China   │ Inner Mongolia │ Dongsheng                  │ 东升                       │    109.97763 │    39.81609 │
│ 159691 │ China   │ Inner Mongolia │ Dongsheng                  │ 东升                       │  109.7558684 │  39.8355649 │
│  19494 │ China   │ Inner Mongolia │ Erenhot                    │ 二连浩特                   │    111.97667 │     43.6475 │
│ 159741 │ China   │ Inner Mongolia │ Erenhot                    │ 二连浩特                   │   111.943519 │  43.6407813 │
│  19553 │ China   │ Inner Mongolia │ Genhe                      │ 根河                       │    121.51667 │    50.78333 │
│ 159713 │ China   │ Inner Mongolia │ Genhe                      │ 根河                       │  121.8112468 │  51.3346874 │
│  19587 │ China   │ Inner Mongolia │ Hailar                     │ 海拉尔                     │        119.7 │        49.2 │
│ 159700 │ China   │ Inner Mongolia │ Hailar                     │ 海拉尔                     │   119.817227 │  49.2321432 │
│  19742 │ China   │ Inner Mongolia │ Jining                     │ 济宁                       │    113.10583 │     41.0275 │
│ 159722 │ China   │ Inner Mongolia │ Jining                     │ 济宁                       │  113.1600076 │  40.9973725 │
│  19903 │ China   │ Inner Mongolia │ Manzhouli                  │ 满洲里                     │    117.43333 │        49.6 │
│ 159709 │ China   │ Inner Mongolia │ Manzhouli                  │ 满洲里                     │  117.4464324 │  49.5914042 │
│  19967 │ China   │ Inner Mongolia │ Ordos                      │ 鄂尔多斯                   │  108.8134284 │  39.4602947 │
│  19968 │ China   │ Inner Mongolia │ Ordos                      │ 鄂尔多斯市                 │    108.80946 │    39.46142 │
│  20092 │ China   │ Inner Mongolia │ Shiguai                    │ 石怪                       │    110.28556 │    40.70583 │
